Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.38833333
Longitude: -40.52333332
Altitude: 372.72
Situacao: Pane
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-01-01;11,4;969,3;33,6;27,9;23;68,4;43;1,7;
2024-01-02;8,4;969,4;30,8;26,2;22,1;77,3;55;2,3;
2024-01-03;null;null;null;null;24,2;73,7;51;null;
2024-01-04;null;968,9;35,3;29,1;24,9;66,1;36;1,4;
2024-01-05;2,2;968,1;34,9;29,3;24,5;64,3;43;1,7;
2024-01-06;0;967,7;35,7;30,3;26,1;60,2;37;2;
2024-01-07;null;null;null;null;null;null;58;null;
2024-01-08;null;null;null;null;null;null;42;null;
2024-01-09;null;null;null;null;null;null;30;null;
2024-01-10;null;968,7;34,4;null;null;55,4;37;3,3;
2024-01-11;null;969,2;34,1;29;24,2;60,7;41;3,5;
2024-01-12;0;968,8;33,7;28,7;23,9;55,5;37;3,1;
2024-01-13;0;969,8;34,9;null;23,5;52,1;29;2,4;
2024-01-14;null;971,6;35;null;25,5;53,2;30;2,7;
2024-01-15;null;971,5;35,9;29,2;24,1;55,3;29;2,9;
2024-01-16;0;970,9;35,4;29,8;24,7;51,9;32;3,4;
2024-01-17;0;970,8;35,8;29,7;23,8;46,2;25;3,1;
2024-01-18;0;970,1;36,2;30;24,3;48,8;25;2,6;
2024-01-19;0;969,5;36,5;30,6;25,3;50,7;30;2,5;
2024-01-20;0;968,7;37,3;30,8;25,9;50,8;26;2,5;
2024-01-21;4,2;970;32,2;27,5;23,2;70,9;50;2;
2024-01-22;null;969,5;36,4;null;23,9;63,7;37;2;
2024-01-23;0;null;null;null;25,2;72,9;55;null;
2024-01-24;null;null;null;null;null;null;null;null;
2024-01-25;null;null;null;null;null;null;null;null;
2024-01-26;null;null;null;null;null;null;null;null;
2024-01-27;null;null;null;null;null;null;null;null;
2024-01-28;null;null;null;null;null;null;null;null;
2024-01-29;null;null;null;null;null;null;null;null;
2024-01-30;null;null;null;null;null;null;null;null;
2024-01-31;null;null;null;null;null;null;null;null;
2024-02-01;null;null;null;null;null;null;null;null;
2024-02-02;null;null;null;null;null;null;null;null;
2024-02-03;null;null;null;null;null;null;null;null;
2024-02-04;null;null;null;null;null;null;null;null;
2024-02-05;null;null;null;null;null;null;null;null;
2024-02-06;null;null;null;null;null;null;null;null;
2024-02-07;null;null;null;null;null;null;null;null;
2024-02-08;null;null;null;null;null;null;null;null;
2024-02-09;null;null;null;null;null;null;null;null;
2024-02-10;null;null;null;null;null;null;null;null;
2024-02-11;null;null;null;null;null;null;42;null;
2024-02-12;null;971,5;32,9;27,2;23,9;68,5;38;4,6;
2024-02-13;,6;971,4;33,1;27,6;23,1;66,4;42;3,5;
2024-02-14;null;null;null;null;null;null;null;null;
2024-02-15;null;null;null;null;null;null;44;null;
2024-02-16;null;null;null;null;null;null;null;null;
2024-02-17;null;null;null;null;null;null;null;null;
2024-02-18;null;null;null;null;null;null;null;null;
2024-02-19;null;null;null;null;null;null;null;null;
2024-02-20;null;null;null;null;null;null;null;null;
2024-02-21;null;null;null;null;null;null;null;null;
2024-02-22;null;null;null;null;null;null;null;null;
2024-02-23;null;null;null;null;null;null;null;null;
2024-02-24;null;null;null;null;null;null;null;null;
2024-02-25;null;null;null;null;null;null;null;null;
2024-02-26;null;null;null;null;null;null;null;null;
2024-02-27;null;null;null;null;null;null;null;null;
2024-02-28;null;null;null;null;null;null;null;null;
2024-02-29;null;null;null;null;null;null;null;null;
2024-03-01;null;null;null;null;null;null;null;null;
2024-03-02;null;null;null;null;null;null;null;null;
2024-03-03;null;null;null;null;null;null;null;null;
2024-03-04;null;null;null;null;null;null;null;null;
2024-03-05;null;null;null;null;null;null;null;null;
2024-03-06;null;null;null;null;null;null;null;null;
2024-03-07;null;null;null;null;null;null;null;null;
2024-03-08;null;null;null;null;null;null;null;null;
2024-03-09;null;null;null;null;null;null;null;null;
2024-03-10;null;null;null;null;null;null;null;null;
2024-03-11;null;null;null;null;null;null;null;null;
2024-03-12;null;null;null;null;null;null;null;null;
2024-03-13;null;null;null;null;null;null;null;null;
2024-03-14;null;null;null;null;null;null;null;null;
2024-03-15;null;null;null;null;null;null;null;null;
2024-03-16;null;null;null;null;null;null;null;null;
2024-03-17;null;null;null;null;null;null;null;null;
2024-03-18;null;null;null;null;null;null;null;null;
2024-03-19;null;null;null;null;null;null;null;null;
2024-03-20;null;null;null;null;null;null;null;null;
2024-03-21;null;null;null;null;null;null;null;null;
