Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-01-01;null;1004,3;33,3;28,3;24,1;78,4;57;1;
2024-01-02;0;1004;32,3;28,7;26,1;79,7;66;1,5;
2024-01-03;0;1003,8;34,1;29,1;26,1;76;55;1,8;
2024-01-04;0;1003,8;34,9;29,4;26,8;72;49;1,6;
2024-01-05;3,8;1005,5;28,7;26,1;23,7;84,2;74;1,6;
2024-01-06;,2;1005,1;31;27;24,9;79,9;64;2,3;
2024-01-07;0;1004,7;35,2;28,5;25;75,6;49;1,6;
2024-01-08;0;1003,4;34,1;29,3;26,2;70,3;51;1,8;
2024-01-09;2,6;1004,1;30,8;27,8;25,6;78;64;1,5;
2024-01-10;9,6;1004,6;32,7;27,6;24,3;80,6;58;,9;
2024-01-11;,6;1005,1;30,1;26,9;24,9;84,1;68;1,4;
2024-01-12;,6;1004,5;32,8;27;24,4;81,3;58;1;
2024-01-13;9;1004,6;31;27,1;24,4;85,8;67;1,1;
2024-01-14;72,4;1006,9;27,4;25,3;23,5;89,1;77;1,3;
2024-01-15;,2;1006,1;32,5;26,3;23,2;82,5;60;1,5;
2024-01-16;,4;1004,6;32,9;null;24,9;76,1;54;2,1;
2024-01-17;,6;1004,5;33,5;29,6;26,4;70,2;54;1,8;
2024-01-18;,8;1004,5;34,5;29,2;26;76,8;52;1,5;
2024-01-19;9,4;1004,7;33,6;29,1;25,6;73,1;53;1,7;
2024-01-20;,4;1004,5;33,8;29,1;26,1;72,5;55;1,9;
2024-01-21;0;1004,9;35,1;28,9;25,6;75,5;48;1,1;
2024-01-22;8;1005,6;33,8;28,7;24,2;77,9;55;1,2;
2024-01-23;0;1005,9;31,6;28,2;26,1;76,3;64;1,5;
2024-01-24;0;1004,9;34,3;28,7;25,3;73,4;51;1,1;
2024-01-25;,2;1004,2;35,2;28,5;26,2;77,5;51;1,4;
2024-01-26;15;1005,6;30,6;26,5;25;85,2;65;1,4;
2024-01-27;1,8;1005,9;30;26,9;24,7;83,5;67;1,7;
2024-01-28;0;1005,7;33,9;28,7;26;75,7;51;2;
2024-01-29;1;1005,9;34,2;28,6;25;78;56;1,7;
2024-01-30;,4;1004,7;35,2;30;26,4;72,5;53;2,1;
2024-01-31;0;1004,2;33,7;29,5;26,2;72,9;54;2,1;
2024-02-01;2,2;1005,5;30,8;26,6;26,2;88;66;1,2;
2024-02-02;44;1005,3;32,7;26,6;23,4;86,1;60;1;
2024-02-03;null;1003,8;32,2;27,9;25;79,2;58;2;
2024-02-04;2,8;1003;34,8;29,8;26,2;74,7;53;1,7;
2024-02-05;13,8;1003,4;33,9;29,1;22,9;72,3;53;1,7;
2024-02-06;0;1003,9;34,1;30;27,1;72;55;1,9;
2024-02-07;0;1004,7;33,5;29,4;25,7;71,3;55;1,7;
2024-02-08;0;1004,1;34,5;29,6;25,6;74,8;53;1,4;
2024-02-09;0;1004,9;30,8;27,9;27;83,4;72;1,2;
2024-02-10;17,4;1004,1;33,6;28,3;23,9;81,5;56;1,5;
2024-02-11;35,2;1003,7;32,8;28,4;24,4;80,2;59;1,8;
2024-02-12;17,8;1004,5;31,9;27;23,6;83,2;64;1,6;
2024-02-13;36;1006,1;30,6;26,3;23,7;87,8;67;1,2;
2024-02-14;43;1006,7;32,1;27,5;23,3;81,4;62;1,8;
2024-02-15;0;1006,2;33,9;27,9;25,6;82,2;56;1,3;
2024-02-16;null;1005,7;33,9;28,9;25,3;75,3;53;1,7;
