site,stage,variable,status,source_present,row_count,expected_days,valid_days,valid_fraction,finite_values,non_finite_values,start_date,end_date,missing_dates,duplicate_dates,missing_values,interpolated_values,physical_limit_violations
manaus,input,tmed_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,rh_mean_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,wind_mean_ms,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,tmax_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,rh_max_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,wind_max_ms,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,tmin_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,rh_min_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,rain_mm,available,True,366,366,365,0.9972677595628415,365,1,2024-01-01,2024-12-31,,,1,1,0
manaus,input,rad_global_mj_m2_d,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,input,rad_net_mj_m2_d,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_thornthwaite,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_thornthwaite_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_hargreaves_samani,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_hargreaves_samani_corr,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_priestley_taylor,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_penman_monteith,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,precomputed_et0,et_garcia_lopez,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,366
manaus,input,ra_extraterrestre_mj_m2_d,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_garcia_lopez,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_global_radiation,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_hargreaves_samani,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_hargreaves_samani_corr,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_hicks_hess,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_ivanov,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,365
manaus,computed_et0,et_jensen_heise,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_lungeon,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_makkink,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,226
manaus,computed_et0,et_mccloud,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,366
manaus,computed_et0,et_net_radiation,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_penman_monteith,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_priestley_taylor,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_radiation_temperature,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_stephens_stewart,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_thornthwaite,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_thornthwaite_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
manaus,computed_et0,et_turc,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,tmed_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rh_mean_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,wind_mean_ms,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,tmax_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rh_max_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,wind_max_ms,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,tmin_c,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rh_min_pct,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rain_mm,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rad_global_mj_m2_d,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,input,rad_net_mj_m2_d,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,precomputed_et0,et_thornthwaite,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,precomputed_et0,et_thornthwaite_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,precomputed_et0,et_camargo,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,precomputed_et0,et_hargreaves_samani,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
piracicaba,precomputed_et0,et_hargreaves_samani_corr,available,True,366,366,366,1.0,366,0,2024-01-01,2024-12-31,,,0,0,0
