site,variable,row_count,expected_days,start_date,end_date,missing_dates,duplicate_dates,missing_values,interpolated_values,physical_limit_violations
manaus,tmed_c,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,rh_mean_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,wind_mean_ms,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,tmax_c,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,rh_max_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,wind_max_ms,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,tmin_c,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,rh_min_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,rain_mm,366,366,2024-01-01,2024-12-31,,,1,1,0
manaus,rad_global_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,rad_net_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_thornthwaite,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_thornthwaite_camargo,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_camargo,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_hargreaves_samani,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_hargreaves_samani_corr,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_priestley_taylor,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_penman_monteith,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,et_garcia_lopez,366,366,2024-01-01,2024-12-31,,,0,0,366
manaus,T_med,366,366,2024-01-01,2024-12-31,,,353,353,0
manaus,I,366,366,2024-01-01,2024-12-31,,,354,354,0
manaus,I_Anual,366,366,2024-01-01,2024-12-31,,,365,365,0
manaus,a,366,366,2024-01-01,2024-12-31,,,365,365,0
manaus,et,366,366,2024-01-01,2024-12-31,,,353,353,0
manaus,T,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,UR,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,es_max,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,es_min,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,es,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,s,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,ea,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,delta_e,366,366,2024-01-01,2024-12-31,,,0,0,0
manaus,ra_extraterrestre_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
