site,variable,row_count,expected_days,start_date,end_date,missing_dates,duplicate_dates,missing_values,interpolated_values,physical_limit_violations
piracicaba,tmed_c,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rh_mean_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,wind_mean_ms,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,tmax_c,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rh_max_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,wind_max_ms,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,tmin_c,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rh_min_pct,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rain_mm,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rad_global_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,rad_net_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_thornthwaite,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_thornthwaite_camargo,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_camargo,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_hargreaves_samani,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_hargreaves_samani_corr,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_priestley_taylor,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_penman_monteith,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,et_garcia_lopez,366,366,2024-01-01,2024-12-31,,,0,0,39
piracicaba,T_med,366,366,2024-01-01,2024-12-31,,,354,354,0
piracicaba,I,366,366,2024-01-01,2024-12-31,,,354,354,0
piracicaba,I_Anual,366,366,2024-01-01,2024-12-31,,,365,365,0
piracicaba,a,366,366,2024-01-01,2024-12-31,,,365,365,0
piracicaba,et,366,366,2024-01-01,2024-12-31,,,353,353,0
piracicaba,T,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,UR,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,es_max,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,es_min,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,es,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,s,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,ea,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,delta_e,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,ra_extraterrestre_mj_m2_d,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,T_med.1,366,366,2024-01-01,2024-12-31,,,0,0,0
piracicaba,T_max_media,366,366,2024-01-01,2024-12-31,,,365,365,0
piracicaba,T_min_media,366,366,2024-01-01,2024-12-31,,,365,365,0
piracicaba,Tef,366,366,2024-01-01,2024-12-31,,,365,365,0
