method,metric,estimate,ci_lower,ci_upper,n,n_boot,confidence
et_thornthwaite,rmse,4.190154047392998,4.156998006802377,4.224620264003008,366,1000,0.95
et_thornthwaite,mae,4.176340960573792,4.142211907824717,4.212408827004586,366,1000,0.95
et_thornthwaite,mbe,4.176340960573792,4.142211907824717,4.212408827004586,366,1000,0.95
et_thornthwaite_camargo,rmse,4.075034718192129,4.021372152791033,4.125595272916958,366,1000,0.95
et_thornthwaite_camargo,mae,4.037647557099689,3.9793771778108553,4.091677647633214,366,1000,0.95
et_thornthwaite_camargo,mbe,4.037647557099689,3.9793771778108553,4.091677647633214,366,1000,0.95
et_camargo,rmse,1.0690951404446403,1.0350236564272384,1.1009747011335793,366,1000,0.95
et_camargo,mae,0.9968802606890962,0.9555019259861197,1.036568916418175,366,1000,0.95
et_camargo,mbe,0.9732404569900448,0.9250095574888325,1.0187383033992206,366,1000,0.95
et_hargreaves_samani,rmse,1.153671490891099,1.1201890089312259,1.185333328705459,366,1000,0.95
et_hargreaves_samani,mae,1.0856911031173613,1.0442699555436439,1.126138581287134,366,1000,0.95
et_hargreaves_samani,mbe,1.0740806541002481,1.0293846613764595,1.116247889007505,366,1000,0.95
et_hargreaves_samani_corr,rmse,1.5975552476173362,1.562241794520381,1.6362176197032943,366,1000,0.95
et_hargreaves_samani_corr,mae,1.5418442069563703,1.5004639886895854,1.5854719356040234,366,1000,0.95
et_hargreaves_samani_corr,mbe,1.5418442069563703,1.5004639886895854,1.5854719356040234,366,1000,0.95
et_priestley_taylor,rmse,1.034366681283739,0.9708637204480992,1.1002265175183306,366,1000,0.95
et_priestley_taylor,mae,0.891046455859203,0.8356482235552658,0.9460221964963703,366,1000,0.95
et_priestley_taylor,mbe,-0.891046455859203,-0.9460221964963703,-0.8356482235552658,366,1000,0.95
et_garcia_lopez,rmse,1.0495576478689026,0.9871143134644966,1.1157377945384677,366,1000,0.95
et_garcia_lopez,mae,0.9229949444095059,0.8685817681821321,0.9780273611360926,366,1000,0.95
et_garcia_lopez,mbe,-0.9229949444095059,-0.9780273611360926,-0.8685817681821321,366,1000,0.95
et_makkink,rmse,1.1339995810335064,1.0750138201044053,1.2039673059153673,366,1000,0.95
et_makkink,mae,1.0056657997729659,0.9582614637466574,1.0630223251100954,366,1000,0.95
et_makkink,mbe,-1.0056657997729659,-1.0630223251100954,-0.9582614637466574,366,1000,0.95
et_mccloud,rmse,107.99812877834601,106.74833629218442,109.26260269470626,366,1000,0.95
et_mccloud,mae,107.29318320046035,106.07180265638264,108.53764363060141,366,1000,0.95
et_mccloud,mbe,107.29318320046035,106.07180265638264,108.53764363060141,366,1000,0.95
et_turc,rmse,0.6840473834523331,0.617231953916679,0.7522549899897324,366,1000,0.95
et_turc,mae,0.5013112841171182,0.453346536409101,0.5524543904148077,366,1000,0.95
et_turc,mbe,-0.4517212615840746,-0.5048341369530784,-0.3962547923312738,366,1000,0.95
et_global_radiation,rmse,1.0177775676689214,0.955523514483539,1.0807314481204198,366,1000,0.95
et_global_radiation,mae,0.8730433006304897,0.8208116577122578,0.9247978286236823,366,1000,0.95
et_global_radiation,mbe,-0.8730433006304897,-0.9247978286236823,-0.8208116577122578,366,1000,0.95
et_ivanov,rmse,4.029517238882808,3.8520393738428265,4.227826516626707,366,1000,0.95
et_ivanov,mae,3.6444772754703054,3.4770218547337977,3.8255198748307984,366,1000,0.95
et_ivanov,mbe,3.6444772754703054,3.4770218547337977,3.8255198748307984,366,1000,0.95
et_jensen_heise,rmse,0.9849307447078873,0.9202934527881342,1.0498427913947983,366,1000,0.95
et_jensen_heise,mae,0.8440403386926979,0.7941166661730839,0.8997382727736231,366,1000,0.95
et_jensen_heise,mbe,-0.8440403386926979,-0.8997382727736231,-0.7941166661730839,366,1000,0.95
et_net_radiation,rmse,1.0333105680110233,0.9690193758982528,1.0987654195072307,366,1000,0.95
et_net_radiation,mae,0.8890120955105686,0.8356038067944181,0.9472418668545595,366,1000,0.95
et_net_radiation,mbe,-0.8890120955105686,-0.9472418668545595,-0.8356038067944181,366,1000,0.95
et_radiation_temperature,rmse,1.0351791046741972,0.9757621658187235,1.1040577725700311,366,1000,0.95
et_radiation_temperature,mae,0.8928409203329017,0.8407349808269554,0.9484815797968299,366,1000,0.95
et_radiation_temperature,mbe,-0.8928409203329017,-0.9484815797968299,-0.8407349808269554,366,1000,0.95
et_lungeon,rmse,0.46322156548829,0.425925995713602,0.5011190620495216,366,1000,0.95
et_lungeon,mae,0.360330848878176,0.33160977284175747,0.39086326560712925,366,1000,0.95
et_lungeon,mbe,-0.3555821936212242,-0.38661435375252035,-0.32598887854916964,366,1000,0.95
et_stephens_stewart,rmse,1.0202644171032496,0.9537904756516937,1.0807659082402579,366,1000,0.95
et_stephens_stewart,mae,0.8784470014220634,0.8249233653504812,0.9312296152966559,366,1000,0.95
et_stephens_stewart,mbe,-0.8784470014220634,-0.9312296152966559,-0.8249233653504812,366,1000,0.95
et_hicks_hess,rmse,1.0050672371770335,0.9458728274102852,1.0657539934005942,366,1000,0.95
et_hicks_hess,mae,0.8693609187562011,0.8189699256226284,0.9194024462744975,366,1000,0.95
et_hicks_hess,mbe,-0.8693609187562011,-0.9194024462744975,-0.8189699256226284,366,1000,0.95
