method,rmse,mae,mbe,r,r2,willmott_d,c,classification
et_thornthwaite,127.4526592445257,127.37839929750062,127.37839929750062,0.9173982465933262,0.8416195428525094,0.1324740441389861,0.12153145581223276,Very Poor
et_thornthwaite_camargo,123.67380772236643,123.14825049154048,123.14825049154048,-0.0517009421011782,0.00267298741414938,0.12489165646944633,-0.006457016300047082,Very Poor
et_camargo,30.847159559030285,29.68383393819637,29.68383393819637,0.8776965307907084,0.770351200162045,0.3850849330119531,0.3379877097643636,Very Poor
et_hargreaves_samani,33.33389227845379,32.759459950057575,32.759459950057575,0.9024694052775108,0.8144510274619441,0.3912769616965909,0.3531154869211138,Very Poor
et_hargreaves_samani_corr,47.33596450654287,47.02624831216931,47.02624831216931,0.9024694052775113,0.814451027461945,0.3079339125793744,0.27790093495028517,Very Poor
et_priestley_taylor,29.086432651108556,27.17691690370569,-27.17691690370569,0.6695768125085855,0.4483331078491574,0.366138766605527,0.2451580282795537,Very Poor
et_garcia_lopez,29.7983984110424,28.151345804489935,-28.151345804489935,0.9553581626041545,0.9127092188543862,0.3664182875476336,0.350060701936068,Very Poor
et_makkink,32.36945650240047,30.67280689307547,-30.67280689307547,0.6606648214729162,0.4364780063318402,0.34473362187176326,0.22775337674962026,Very Poor
et_mccloud,3282.4615260790756,3272.4420876140407,3272.4420876140407,0.9405864756739898,0.8847029182208169,0.005989823407567374,0.0056339468888333645,Very Poor
et_turc,17.10756747123732,13.777498478314277,-13.777498478314277,0.7590291942901484,0.5761253177847518,0.4653792371867659,0.35323642744123473,Very Poor
et_global_radiation,28.567896076542734,26.627820669229944,-26.627820669229944,0.6284930586213863,0.3950035247352653,0.3702045601787822,0.2326709963423479,Very Poor
et_ivanov,118.2674739208984,111.15655690184433,111.15655690184433,0.9765181451652879,0.9535876878370543,0.19187342344431224,0.18736787956835366,Very Poor
et_jensen_heise,27.634091752539724,25.74323033012728,-25.74323033012728,0.7477072939756761,0.5590661974644282,0.38061250336401287,0.28458674494361397,Very Poor
et_net_radiation,29.040878826428056,27.11486891307234,-27.11486891307234,0.6284930586213863,0.3950035247352653,0.36613241935392415,0.23011168410019583,Very Poor
et_radiation_temperature,29.124557651447983,27.2316480701535,-27.2316480701535,0.7069122250221119,0.499724893885713,0.3662093684249662,0.2588778794572352,Very Poor
et_lungeon,11.600391237100771,10.845256905447336,-10.845256905447336,0.9768260607666797,0.9541891529929489,0.7045952593313154,0.6882670116074859,Good
et_stephens_stewart,28.683478748316368,26.792633543372933,-26.792633543372933,0.7254051047214065,0.5262125659558747,0.37038996531609747,0.2686827715778818,Very Poor
et_hicks_hess,28.37228858004664,26.51550802206413,-26.51550802206413,0.7555232309427582,0.5708153524941844,0.37441886327528395,0.28288214930765737,Very Poor
