period_type,period,method,n,rain_mm,rmse,mae,mbe
month,2024-01,et_thornthwaite,31,137.00000000000003,4.15771952485535,4.147037795858027,4.147037795858027
month,2024-01,et_thornthwaite_camargo,31,137.00000000000003,4.15771952485535,4.147037795858027,4.147037795858027
month,2024-01,et_camargo,31,137.00000000000003,1.0616521832163983,1.0343333635950032,1.0343333635950032
month,2024-01,et_hargreaves_samani,31,137.00000000000003,1.1211259988179938,1.0852041634403125,1.0852041634403125
month,2024-01,et_hargreaves_samani_corr,31,137.00000000000003,1.5613003364556952,1.5307375606147298,1.5307375606147298
month,2024-01,et_priestley_taylor,31,137.00000000000003,0.8183636921248545,0.7716595446098957,-0.7716595446098957
month,2024-01,et_garcia_lopez,31,137.00000000000003,0.862347244213497,0.8200843176203866,-0.8200843176203866
month,2024-01,et_makkink,31,137.00000000000003,0.9263476897327855,0.8857545633964581,-0.8857545633964581
month,2024-01,et_mccloud,31,137.00000000000003,102.73848043883626,102.47321658083253,102.47321658083253
month,2024-01,et_turc,31,137.00000000000003,0.4269116055549924,0.3449951622006096,-0.33481951038598035
month,2024-01,et_global_radiation,31,137.00000000000003,0.7974120876604783,0.7505977418471735,-0.7505977418471735
month,2024-01,et_ivanov,31,137.00000000000003,2.9808594009478613,2.8968597410834835,2.8968597410834835
month,2024-01,et_jensen_heise,31,137.00000000000003,0.7689513626560711,0.7241378853077838,-0.7241378853077838
month,2024-01,et_net_radiation,31,137.00000000000003,0.8153177380223636,0.768295356690711,-0.768295356690711
month,2024-01,et_radiation_temperature,31,137.00000000000003,0.8212300816999845,0.7748119134512991,-0.7748119134512991
month,2024-01,et_lungeon,31,137.00000000000003,0.4156905149247567,0.3665465988358722,-0.3665465988358722
month,2024-01,et_stephens_stewart,31,137.00000000000003,0.805849019938683,0.7599417243773469,-0.7599417243773469
month,2024-01,et_hicks_hess,31,137.00000000000003,0.7847726958072122,0.7435471501975873,-0.7435471501975873
month,2024-02,et_thornthwaite,29,324.4,4.119442456762687,4.085913790172352,4.085913790172352
month,2024-02,et_thornthwaite_camargo,29,324.4,4.042437530577501,4.0082647785248815,4.0082647785248815
month,2024-02,et_camargo,29,324.4,1.0131337425171154,0.9187630960693052,0.9156415929985954
month,2024-02,et_hargreaves_samani,29,324.4,1.0882779725796854,1.007018024715059,1.007018024715059
month,2024-02,et_hargreaves_samani_corr,29,324.4,1.5230468169530393,1.4662575435004754,1.4662575435004754
month,2024-02,et_priestley_taylor,29,324.4,1.023876812973472,0.9004996855766326,-0.9004996855766326
month,2024-02,et_garcia_lopez,29,324.4,1.0475000962613552,0.9399211515426354,-0.9399211515426354
month,2024-02,et_makkink,29,324.4,1.124235585226876,1.0140737253405263,-1.0140737253405263
month,2024-02,et_mccloud,29,324.4,104.80388514698294,104.371404179584,104.371404179584
month,2024-02,et_turc,29,324.4,0.6626972407838814,0.4988029432641711,-0.46105500789015685
month,2024-02,et_global_radiation,29,324.4,1.0022634298880075,0.8783493435484375,-0.8783493435484375
month,2024-02,et_ivanov,29,324.4,3.302076065749435,3.036275334223086,3.036275334223086
month,2024-02,et_jensen_heise,29,324.4,0.9658707971766974,0.8464585831171099,-0.8464585831171099
month,2024-02,et_net_radiation,29,324.4,1.021672215865122,0.8975064433631219,-0.8975064433631219
month,2024-02,et_radiation_temperature,29,324.4,1.0258808527269094,0.9032608806848438,-0.9032608806848438
month,2024-02,et_lungeon,29,324.4,0.5469679142888547,0.4658891175010529,-0.4658891175010529
month,2024-02,et_stephens_stewart,29,324.4,1.0081432166839466,0.8865458040413415,-0.8865458040413415
month,2024-02,et_hicks_hess,29,324.4,0.9777895886155735,0.863659611244345,-0.863659611244345
month,2024-03,et_thornthwaite,31,419.8,4.215863221386385,4.201958177024522,4.201958177024522
month,2024-03,et_thornthwaite_camargo,31,419.8,4.326269148684713,4.312720089095279,4.312720089095279
month,2024-03,et_camargo,31,419.8,1.200620224503751,1.1724205284583271,1.1724205284583271
month,2024-03,et_hargreaves_samani,31,419.8,1.1905307289137765,1.1617309777340963,1.1617309777340963
month,2024-03,et_hargreaves_samani_corr,31,419.8,1.6126860780601846,1.58709539005959,1.58709539005959
month,2024-03,et_priestley_taylor,31,419.8,0.6894295949599255,0.6187711406230222,-0.6187711406230222
month,2024-03,et_garcia_lopez,31,419.8,0.7376711153835767,0.6703668241095407,-0.6703668241095407
month,2024-03,et_makkink,31,419.8,0.7932992433154098,0.7335371984592941,-0.7335371984592941
month,2024-03,et_mccloud,31,419.8,100.43420239385885,100.04103593469401,100.04103593469401
month,2024-03,et_turc,31,419.8,0.34681098208607025,0.26007722566222086,-0.18564441216232042
month,2024-03,et_global_radiation,31,419.8,0.6700716464097027,0.599856997051877,-0.599856997051877
month,2024-03,et_ivanov,31,419.8,2.4481098882673398,2.3290580896433175,2.3290580896433175
month,2024-03,et_jensen_heise,31,419.8,0.6433585223168103,0.5772920787942515,-0.5772920787942515
month,2024-03,et_net_radiation,31,419.8,0.6866646484728472,0.6155760125824894,-0.6155760125824894
month,2024-03,et_radiation_temperature,31,419.8,0.692012443962473,0.6217387030536327,-0.6217387030536327
month,2024-03,et_lungeon,31,419.8,0.36426228640674985,0.30575294442592316,-0.30164796842119884
month,2024-03,et_stephens_stewart,31,419.8,0.6776919845260595,0.6087093571282431,-0.6087093571282431
month,2024-03,et_hicks_hess,31,419.8,0.6621497976935384,0.5976822593156036,-0.5976822593156036
month,2024-04,et_thornthwaite,30,218.2,4.295672141747607,4.287263898519777,4.287263898519777
month,2024-04,et_thornthwaite_camargo,30,218.2,4.3910023223014125,4.3827769713528575,4.3827769713528575
month,2024-04,et_camargo,30,218.2,1.2642722224896334,1.2462080668493252,1.2462080668493252
month,2024-04,et_hargreaves_samani,30,218.2,1.2687535063651618,1.255315286818812,1.255315286818812
month,2024-04,et_hargreaves_samani_corr,30,218.2,1.6996526793847149,1.6860021349702807,1.6860021349702807
month,2024-04,et_priestley_taylor,30,218.2,0.6095628775605213,0.5598509191977519,-0.5598509191977519
month,2024-04,et_garcia_lopez,30,218.2,0.6582012858504939,0.6101848621885233,-0.6101848621885233
month,2024-04,et_makkink,30,218.2,0.7164856315520551,0.6752010945103902,-0.6752010945103902
month,2024-04,et_mccloud,30,218.2,100.59183075452846,100.38180435337455,100.38180435337455
month,2024-04,et_turc,30,218.2,0.2660292393185754,0.21680804855172087,-0.12760039119712363
month,2024-04,et_global_radiation,30,218.2,0.5923083503143886,0.5428934864386566,-0.5428934864386566
month,2024-04,et_ivanov,30,218.2,2.4940597725778733,2.3854724542234753,2.3854724542234753
month,2024-04,et_jensen_heise,30,218.2,0.5709161230884633,0.5235168887912643,-0.5235168887912643
month,2024-04,et_net_radiation,30,218.2,0.606774499771713,0.5568786431098585,-0.5568786431098585
month,2024-04,et_radiation_temperature,30,218.2,0.6121930609513002,0.5626413031620127,-0.5626413031620127
month,2024-04,et_lungeon,30,218.2,0.28112803470955167,0.23510418006180733,-0.2336089391098584
month,2024-04,et_stephens_stewart,30,218.2,0.600069842131668,0.5511822903622394,-0.5511822903622394
month,2024-04,et_hicks_hess,30,218.2,0.5952317677613903,0.5487693098906401,-0.5487693098906401
month,2024-05,et_thornthwaite,31,377.0,4.266360814795917,4.2597170478546875,4.2597170478546875
month,2024-05,et_thornthwaite_camargo,31,377.0,4.4749291760610745,4.4628491063508555,4.4628491063508555
month,2024-05,et_camargo,31,377.0,1.333237576574955,1.309136774153666,1.309136774153666
month,2024-05,et_hargreaves_samani,31,377.0,1.260161338946736,1.2225296573928968,1.2225296573928968
month,2024-05,et_hargreaves_samani_corr,31,377.0,1.6642641812903478,1.6276855278891122,1.6276855278891122
month,2024-05,et_priestley_taylor,31,377.0,0.584691376440479,0.5005931708113112,-0.5005931708113112
month,2024-05,et_garcia_lopez,31,377.0,0.6208784353794929,0.5401493611032174,-0.5401493611032174
month,2024-05,et_makkink,31,377.0,0.686420034195038,0.617035059983493,-0.617035059983493
month,2024-05,et_mccloud,31,377.0,99.31815488468153,98.91536336045235,98.91536336045235
month,2024-05,et_turc,31,377.0,0.30151080714889295,0.24172232549261824,-0.07221897534760965
month,2024-05,et_global_radiation,31,377.0,0.5715228018178393,0.48757190754482016,-0.48757190754482016
month,2024-05,et_ivanov,31,377.0,2.336167526172221,2.2061731520601837,2.2061731520601837
month,2024-05,et_jensen_heise,31,377.0,0.5538291830150396,0.4728581831921759,-0.4728581831921759
month,2024-05,et_net_radiation,31,377.0,0.5827447681120927,0.4982795301978812,-0.4982795301978812
month,2024-05,et_radiation_temperature,31,377.0,0.5865157354981791,0.5027403891665011,-0.5027403891665011
month,2024-05,et_lungeon,31,377.0,0.27182282331186,0.203426330194556,-0.18910059955271985
month,2024-05,et_stephens_stewart,31,377.0,0.576902871070644,0.49399008118471477,-0.49399008118471477
month,2024-05,et_hicks_hess,31,377.0,0.5711205680030105,0.4929859710721799,-0.4929859710721799
month,2024-06,et_thornthwaite,30,125.8,4.263058411765658,4.258845246240534,4.258845246240534
month,2024-06,et_thornthwaite_camargo,30,125.8,4.178271371192863,4.164806937592137,4.164806937592137
month,2024-06,et_camargo,30,125.8,1.1160789153170194,1.0804965364899657,1.0804965364899657
month,2024-06,et_hargreaves_samani,30,125.8,1.199015060504781,1.1652102185536657,1.1652102185536657
month,2024-06,et_hargreaves_samani_corr,30,125.8,1.649063758776421,1.6248230125062162,1.6248230125062162
month,2024-06,et_priestley_taylor,30,125.8,0.8559216204871735,0.7906442718176373,-0.7906442718176373
month,2024-06,et_garcia_lopez,30,125.8,0.8842907261510177,0.8245918245658603,-0.8245918245658603
month,2024-06,et_makkink,30,125.8,0.9639935870051767,0.9066670297619503,-0.9066670297619503
month,2024-06,et_mccloud,30,125.8,105.42584650475997,105.22790895290997,105.22790895290997
month,2024-06,et_turc,30,125.8,0.4802606338263416,0.3912222477670512,-0.35582529452368433
month,2024-06,et_global_radiation,30,125.8,0.8428782819491191,0.7767410462764748,-0.7767410462764748
month,2024-06,et_ivanov,30,125.8,3.402140118690703,3.286272058462755,3.286272058462755
month,2024-06,et_jensen_heise,30,125.8,0.8236793772828477,0.7578442316506241,-0.7578442316506241
month,2024-06,et_net_radiation,30,125.8,0.854230104255156,0.7886236590039122,-0.7886236590039122
month,2024-06,et_radiation_temperature,30,125.8,0.8575194760732119,0.7925466279091277,-0.7925466279091277
month,2024-06,et_lungeon,30,125.8,0.36712996563002837,0.30068716837079,-0.29697243320391203
month,2024-06,et_stephens_stewart,30,125.8,0.8475436505907525,0.7823470723943883,-0.7823470723943883
month,2024-06,et_hicks_hess,30,125.8,0.8419061341308723,0.7797207065234365,-0.7797207065234365
month,2024-07,et_thornthwaite,31,59.4,4.084577151675512,4.077561087847296,4.077561087847296
month,2024-07,et_thornthwaite_camargo,31,59.4,3.7985079024663815,3.7719544602024846,3.7719544602024846
month,2024-07,et_camargo,31,59.4,0.8368825224401732,0.7505561235328074,0.7495113840948268
month,2024-07,et_hargreaves_samani,31,59.4,0.9655298204329498,0.8607607936367778,0.8607607936367778
month,2024-07,et_hargreaves_samani_corr,31,59.4,1.4113728673806143,1.3403723565606918,1.3403723565606918
month,2024-07,et_priestley_taylor,31,59.4,1.2461140153973511,1.1675817806166457,-1.1675817806166457
month,2024-07,et_garcia_lopez,31,59.4,1.254217559396543,1.1837062083827883,-1.1837062083827883
month,2024-07,et_makkink,31,59.4,1.3544263134358057,1.2827697990075506,-1.2827697990075506
month,2024-07,et_mccloud,31,59.4,111.3450448985193,111.03137806600836,111.03137806600836
month,2024-07,et_turc,31,59.4,0.8431946083351548,0.726373472669073,-0.726373472669073
month,2024-07,et_global_radiation,31,59.4,1.2311637980830252,1.1519373903181647,-1.1519373903181647
month,2024-07,et_ivanov,31,59.4,4.835904237572566,4.683731579460199,4.683731579460199
month,2024-07,et_jensen_heise,31,59.4,1.202149732569137,1.1243339803170673,-1.1243339803170673
month,2024-07,et_net_radiation,31,59.4,1.2451072211968905,1.166158074862382,-1.166158074862382
month,2024-07,et_radiation_temperature,31,59.4,1.246974823689625,1.1688575911630186,-1.1688575911630186
month,2024-07,et_lungeon,31,59.4,0.5192011466305596,0.4457285345593288,-0.44139070118496265
month,2024-07,et_stephens_stewart,31,59.4,1.233694769870796,1.1557013414897686,-1.1557013414897686
month,2024-07,et_hicks_hess,31,59.4,1.2212219864002758,1.1471960782683777,-1.1471960782683777
month,2024-08,et_thornthwaite,31,17.0,4.06906057653476,4.057295815807578,4.057295815807578
month,2024-08,et_thornthwaite_camargo,31,17.0,3.5816420375806652,3.5479968225713674,3.5479968225713674
month,2024-08,et_camargo,31,17.0,0.7240312450572488,0.6200593412323832,0.5904187892550199
month,2024-08,et_hargreaves_samani,31,17.0,0.9141106230602126,0.8082163991690646,0.8059737737328307
month,2024-08,et_hargreaves_samani_corr,31,17.0,1.3913926604043685,1.3238555547774458,1.3238555547774458
month,2024-08,et_priestley_taylor,31,17.0,1.4497848343941067,1.3707482929197492,-1.3707482929197492
month,2024-08,et_garcia_lopez,31,17.0,1.4445103461072268,1.374265912357175,-1.374265912357175
month,2024-08,et_makkink,31,17.0,1.5578283967767743,1.4848458175046295,-1.4848458175046295
month,2024-08,et_mccloud,31,17.0,117.75912129538601,117.42124997119039,117.42124997119039
month,2024-08,et_turc,31,17.0,1.033012651603505,0.9224970177836301,-0.9224970177836301
month,2024-08,et_global_radiation,31,17.0,1.4324695278854245,1.3529125438588707,-1.3529125438588707
month,2024-08,et_ivanov,31,17.0,5.667433822740895,5.542467895377469,5.542467895377469
month,2024-08,et_jensen_heise,31,17.0,1.3913827193729975,1.3134503679481837,-1.3134503679481837
month,2024-08,et_net_radiation,31,17.0,1.4495982110695473,1.370176629654789,-1.370176629654789
month,2024-08,et_radiation_temperature,31,17.0,1.4497105910995103,1.371073356838901,-1.371073356838901
month,2024-08,et_lungeon,31,17.0,0.6008823264088292,0.5131617659128537,-0.5131617659128537
month,2024-08,et_stephens_stewart,31,17.0,1.4323640578246761,1.353968381118252,-1.353968381118252
month,2024-08,et_hicks_hess,31,17.0,1.4143505316273148,1.3405148935572138,-1.3405148935572138
month,2024-09,et_thornthwaite,30,62.2,3.9974507299051982,3.964963753696256,3.964963753696256
month,2024-09,et_thornthwaite_camargo,30,62.2,3.335627054871605,3.2557120006034155,3.2557120006034155
month,2024-09,et_camargo,30,62.2,0.7368845051133488,0.6222247078241199,0.377936293378795
month,2024-09,et_hargreaves_samani,30,62.2,0.9261824780404572,0.7710957882713317,0.6317656898799929
month,2024-09,et_hargreaves_samani_corr,30,62.2,1.35417442362945,1.176359098412628,1.176359098412628
month,2024-09,et_priestley_taylor,30,62.2,1.7893370441191645,1.645398537099442,-1.645398537099442
month,2024-09,et_garcia_lopez,30,62.2,1.7532793838252851,1.6269156673086125,-1.6269156673086125
month,2024-09,et_makkink,30,62.2,1.8934917455463862,1.7585711286878365,-1.7585711286878365
month,2024-09,et_mccloud,30,62.2,126.13718683725146,125.59176101545926,125.59176101545926
month,2024-09,et_turc,30,62.2,1.374332656396042,1.1877904202894463,-1.1877904202894463
month,2024-09,et_global_radiation,30,62.2,1.7715715145558362,1.6266273517459213,-1.6266273517459213
month,2024-09,et_ivanov,30,62.2,6.339006990298012,6.166430143474033,6.166430143474033
month,2024-09,et_jensen_heise,30,62.2,1.7152891002168795,1.5728315943054454,-1.5728315943054454
month,2024-09,et_net_radiation,30,62.2,1.7909317371263163,1.6463505278593005,-1.6463505278593005
month,2024-09,et_radiation_temperature,30,62.2,1.7871143079951763,1.643889943327554,-1.643889943327554
month,2024-09,et_lungeon,30,62.2,0.8297504292208696,0.6822131120249868,-0.673950466525967
month,2024-09,et_stephens_stewart,30,62.2,1.765629149073795,1.6226896612514774,-1.6226896612514774
month,2024-09,et_hicks_hess,30,62.2,1.731681616353114,1.5982066038390355,-1.5982066038390355
month,2024-10,et_thornthwaite,31,78.4,4.304012620694835,4.294049962479364,4.294049962479364
month,2024-10,et_thornthwaite_camargo,31,78.4,3.888300934703262,3.8710680660173473,3.8710680660173473
