method,metric,estimate,ci_lower,ci_upper,n,n_boot,confidence
et_thornthwaite,rmse,1.232491060577839,1.130556558427827,1.3235189543346269,366,1000,0.95
et_thornthwaite,mae,0.9595928812373657,0.8783755835556387,1.0368331085125064,366,1000,0.95
et_thornthwaite,mbe,0.07925132235593303,-0.04931578722566355,0.19781391151727315,366,1000,0.95
et_thornthwaite_camargo,rmse,3.419612711006985,3.3032488060106826,3.539048021305583,366,1000,0.95
et_thornthwaite_camargo,mae,3.1604991332508825,3.0320063278561205,3.290900849958956,366,1000,0.95
et_thornthwaite_camargo,mbe,-3.1604214894591416,-3.2908989088641625,-3.031854922462226,366,1000,0.95
et_camargo,rmse,2.1678088014138774,2.0707359615289356,2.257219702835003,366,1000,0.95
et_camargo,mae,1.9410445904042954,1.8435589714012095,2.038463121918533,366,1000,0.95
et_camargo,mbe,-1.861574316491594,-1.9798306449244685,-1.7445579491791106,366,1000,0.95
et_hargreaves_samani,rmse,1.5586909270952438,1.4745685448082835,1.6408678280778595,366,1000,0.95
et_hargreaves_samani,mae,1.3440157838649114,1.266590678125913,1.4291619599836194,366,1000,0.95
et_hargreaves_samani,mbe,-1.2458570969937963,-1.3396270404216704,-1.152781270431679,366,1000,0.95
et_hargreaves_samani_corr,rmse,1.877701898247015,1.8024927850072878,1.947598213770245,366,1000,0.95
et_hargreaves_samani_corr,mae,1.7409321758243494,1.6668219506573647,1.8121246997975855,366,1000,0.95
et_hargreaves_samani_corr,mbe,1.7322424797876534,1.6572847055005635,1.8015449445650449,366,1000,0.95
et_priestley_taylor,rmse,0.498164033318992,0.4580177792908956,0.5393334703796906,366,1000,0.95
et_priestley_taylor,mae,0.3933641707800148,0.3644245127380136,0.423169120712373,366,1000,0.95
et_priestley_taylor,mbe,0.1143760569220625,0.062482047344923373,0.16399653572769085,366,1000,0.95
et_garcia_lopez,rmse,1.404552485321604,1.321132596223194,1.4851351973394762,366,1000,0.95
et_garcia_lopez,mae,1.194602382012746,1.1195182916439634,1.2698361369379123,366,1000,0.95
et_garcia_lopez,mbe,-1.0687919936885084,-1.1607894998435762,-0.9771511228279284,366,1000,0.95
et_makkink,rmse,0.4199720669869836,0.3421997883710002,0.5229666996135323,366,1000,0.95
et_makkink,mae,0.29132697816249636,0.26121199400433975,0.32415923725074164,366,1000,0.95
et_makkink,mbe,0.010633673959608446,-0.039155047349152455,0.05185290898372045,366,1000,0.95
et_mccloud,rmse,72.13479904583683,70.46323965854353,73.82040824359963,366,1000,0.95
et_mccloud,mae,70.1385530208028,68.40918427993768,71.797982550929,366,1000,0.95
et_mccloud,mbe,70.1385530208028,68.40918427993768,71.797982550929,366,1000,0.95
et_turc,rmse,0.7670115181495837,0.7287665366605512,0.8122138317625155,366,1000,0.95
et_turc,mae,0.7029629281131363,0.6736415110964808,0.7337729500583235,366,1000,0.95
et_turc,mbe,0.6688616610321461,0.6275510917238045,0.706303079142195,366,1000,0.95
et_global_radiation,rmse,0.8860105186281355,0.8378888149050148,0.9379683741226901,366,1000,0.95
et_global_radiation,mae,0.7916697251366632,0.7512678600144166,0.8311471449094113,366,1000,0.95
et_global_radiation,mbe,0.7337823245254683,0.6831581785421408,0.7795206778394795,366,1000,0.95
et_ivanov,rmse,1.8181345828757403,1.6442789169261316,2.005031148485106,366,1000,0.95
et_ivanov,mae,1.3160800040235094,1.194810852892814,1.445161615158286,366,1000,0.95
et_ivanov,mbe,0.8407923964988823,0.6779688681438251,1.0052246415625652,366,1000,0.95
et_jensen_heise,rmse,0.8314861037440657,0.7800457459923595,0.8890308087526895,366,1000,0.95
et_jensen_heise,mae,0.6996021209315254,0.65449978032999,0.7477123451257371,366,1000,0.95
et_jensen_heise,mbe,0.6368370214698198,0.5758078407840512,0.6907566296198677,366,1000,0.95
et_net_radiation,rmse,0.6439575084639235,0.6041355887983202,0.6911888270509363,366,1000,0.95
et_net_radiation,mae,0.529814218816158,0.49356520497562295,0.5702170880863858,366,1000,0.95
et_net_radiation,mbe,0.36286880068104427,0.3068909275852122,0.4158235460451664,366,1000,0.95
et_radiation_temperature,rmse,0.5294896514790025,0.46636768377073734,0.6133632383988291,366,1000,0.95
et_radiation_temperature,mae,0.40236887640411195,0.3702500421004479,0.4387676054876097,366,1000,0.95
et_radiation_temperature,mbe,-0.3189582992059915,-0.3616081546614209,-0.2784056874042702,366,1000,0.95
et_lungeon,rmse,2.8667927096946446,2.754811359660814,2.984785293932239,366,1000,0.95
et_lungeon,mae,2.624338852815938,2.504892773498462,2.7494973470912685,366,1000,0.95
et_lungeon,mbe,-2.623534433058104,-2.748827548110573,-2.502922621128518,366,1000,0.95
et_stephens_stewart,rmse,0.3825333067542915,0.30078630427654063,0.48624672617006715,366,1000,0.95
et_stephens_stewart,mae,0.246587100406859,0.21725412632636448,0.2781373480534592,366,1000,0.95
et_stephens_stewart,mbe,-0.05092084506837574,-0.09156193336647572,-0.013763832906466916,366,1000,0.95
et_hicks_hess,rmse,0.7884907055130959,0.6938317394884211,0.886354527241358,366,1000,0.95
et_hicks_hess,mae,0.531098589925885,0.4743357619681388,0.5924970510192383,366,1000,0.95
et_hicks_hess,mbe,0.3324747822478498,0.26150035117636095,0.40675260606807184,366,1000,0.95
