site,biome,climate_class,region,country,state,scale,rank,selection_rule,method,rmse,mae,mbe,r,r2,willmott_d,c,classification,rank_rmse,rank_mae,rank_mbe,rank_r,rank_r2,rank_willmott_d,rank_c
manaus,Amazonia,Af,North,Brazil,AM,daily,1,composite,et_lungeon,0.7705164494462002,0.6325166714160786,-0.6312334975999405,0.9165486940073816,0.840061508486637,0.6334061259566632,0.5805475575218548,Poor,1,1,1,2,2,1,1
manaus,Amazonia,Af,North,Brazil,AM,daily,2,composite,et_camargo,0.9181661582284952,0.8270025242870398,0.6975891530113285,0.8775680628842517,0.770125704994418,0.5302656260634002,0.4653441782785631,Bad,2,3,2,5,5,3,2
manaus,Amazonia,Af,North,Brazil,AM,daily,3,composite,et_garcia_lopez,1.3499881498509136,1.185864562681614,-1.185864562681614,0.9514455396847912,0.9052486149860836,0.4268039950102495,0.4060807573721518,Bad,9,12,12,1,1,7,3
manaus,Amazonia,Af,North,Brazil,AM,daily,4,composite,et_hicks_hess,1.2976628380212931,1.122996104041852,-1.122996104041852,0.8355935191810467,0.6982165292973663,0.4348982414789922,0.3633981520830798,Very Poor,5,6,6,6,6,5,4
manaus,Amazonia,Af,North,Brazil,AM,daily,5,composite,et_hargreaves_samani,0.9739235721259144,0.8924634440200387,0.7984293501215318,0.6516105022537945,0.4245962466474423,0.5506266357269857,0.3587940986603782,Very Poor,3,4,4,15,15,2,5
manaus,Amazonia,Af,North,Brazil,AM,daily,6,composite,et_turc,0.9886853129681804,0.7530255765321825,-0.727372565562791,0.772036931125064,0.5960410230210068,0.46372518575457,0.3580129692953585,Very Poor,4,2,3,7,7,4,6
manaus,Amazonia,Af,North,Brazil,AM,daily,7,composite,et_jensen_heise,1.3015346527466611,1.119691642671414,-1.119691642671414,0.7546248053351265,0.5694585968270777,0.4308419260960768,0.325124004610463,Very Poor,6,5,5,8,8,6,7
manaus,Amazonia,Af,North,Brazil,AM,daily,8,composite,et_stephens_stewart,1.336954367718186,1.1540983054007798,-1.1540983054007798,0.738495357921512,0.5453753936716221,0.4220561698439213,0.3116865222118691,Very Poor,8,8,8,9,9,8,8
manaus,Amazonia,Af,North,Brazil,AM,daily,9,composite,et_radiation_temperature,1.3518929973932534,1.1684922243116185,-1.1684922243116185,0.7253596414768188,0.526146609483379,0.4184015577622755,0.3034916039317866,Very Poor,12,11,11,10,10,10,9
manaus,Amazonia,Af,North,Brazil,AM,daily,10,composite,et_priestley_taylor,1.3510741053899913,1.1666977598379191,-1.1666977598379191,0.6992506137042317,0.4889514207657446,0.418134618172286,0.2923808883679556,Very Poor,11,10,10,11,11,11,10
manaus,Amazonia,Af,North,Brazil,AM,daily,11,composite,et_makkink,1.4505926178347777,1.2813171037516824,-1.2813171037516824,0.6992506137042315,0.4889514207657443,0.4061304069057871,0.2839869362728209,Very Poor,13,13,13,12,12,13,11
manaus,Amazonia,Af,North,Brazil,AM,daily,12,composite,et_global_radiation,1.3344391525866226,1.148694604609206,-1.148694604609206,0.671771920959764,0.4512775137899714,0.4212636649475356,0.2829931014323564,Very Poor,7,7,7,13,13,9,12
manaus,Amazonia,Af,North,Brazil,AM,daily,13,composite,et_net_radiation,1.3500099078129226,1.164663399489285,-1.164663399489285,0.6717719209597639,0.4512775137899713,0.4179089956307372,0.2807395287812259,Very Poor,10,9,9,14,14,12,13
