method,metric,estimate,ci_lower,ci_upper,n,n_boot,confidence
et_thornthwaite,rmse,2.6761843139192996,2.6300131520611494,2.722880317570828,366,1000,0.95
et_thornthwaite,mae,2.6344967536174217,2.5879456929316613,2.6819128381846364,366,1000,0.95
et_thornthwaite,mbe,2.6344967536174217,2.5879456929316613,2.6819128381846364,366,1000,0.95
et_thornthwaite_camargo,rmse,2.577878500908357,2.5124729980575586,2.6429588816743257,366,1000,0.95
et_thornthwaite_camargo,mae,2.4958033501433188,2.430879431511839,2.557879252093453,366,1000,0.95
et_thornthwaite_camargo,mbe,2.4958033501433188,2.430879431511839,2.557879252093453,366,1000,0.95
et_camargo,rmse,2.5996568167441976,2.5332979778747795,2.6664474159730407,366,1000,0.95
et_camargo,mae,2.5135411881168905,2.446266334593999,2.585048079391177,366,1000,0.95
et_camargo,mbe,-2.40267025317533,-2.5065899316496383,-2.297071106891116,366,1000,0.95
et_hargreaves_samani,rmse,2.554733209036118,2.519911201572317,2.5908030092512333,366,1000,0.95
et_hargreaves_samani,mae,2.5304211180322946,2.4956620520366313,2.5682204281881127,366,1000,0.95
et_hargreaves_samani,mbe,2.5304211180322946,2.4956620520366313,2.5682204281881127,366,1000,0.95
et_hargreaves_samani_corr,rmse,0.3587718639251776,0.3309069841266962,0.3865245237871161,366,1000,0.95
et_hargreaves_samani_corr,mae,0.2885161958517201,0.26766448541479676,0.3093002603873376,366,1000,0.95
et_hargreaves_samani_corr,mbe,8.590578157755309e-16,-0.03758449603205346,0.03706319898438837,366,1000,0.95
et_priestley_taylor,rmse,2.39660036312659,2.338766183156234,2.4600582388554524,366,1000,0.95
et_priestley_taylor,mae,2.3241363885224855,2.265086562966642,2.387346705102292,366,1000,0.95
et_priestley_taylor,mbe,-2.3241363885224855,-2.387346705102292,-2.265086562966642,366,1000,0.95
et_garcia_lopez,rmse,35.092634613639035,35.021533289009724,35.158016576340074,366,1000,0.95
et_garcia_lopez,mae,35.086822569120685,35.01497373139445,35.151854857017575,366,1000,0.95
et_garcia_lopez,mbe,35.086822569120685,35.01497373139445,35.151854857017575,366,1000,0.95
