method,rmse,mae,mbe,r,r2,willmott_d,c,classification
et_thornthwaite,4.190154047392998,4.176340960573792,4.176340960573792,0.7882579940519786,0.6213506651868491,0.1849199706439021,0.14576464511991302,Very Poor
et_thornthwaite_camargo,4.075034718192129,4.037647557099689,4.037647557099689,3.260673941372042e-16,1.0631994551942688e-31,0.171687490184399,5.598169253038381e-17,Very Poor
et_camargo,1.0690951404446403,0.9968802606890962,0.9732404569900448,0.8755920223006289,0.7666613895165051,0.46059491653509066,0.4032932344303494,Bad
et_hargreaves_samani,1.153671490891099,1.0856911031173613,1.0740806541002481,0.6514255239078831,0.42435521319866,0.4600907851167283,0.299714880739854,Very Poor
et_hargreaves_samani_corr,1.5975552476173362,1.5418442069563703,1.5418442069563703,0.651425523907883,0.4243552131986598,0.3826700397516647,0.2492810311290786,Very Poor
et_priestley_taylor,1.034366681283739,0.891046455859203,-0.891046455859203,0.7043289476583047,0.4960792665094549,0.4238644213571945,0.298539981844309,Very Poor
et_garcia_lopez,1.0495576478689026,0.9229949444095059,-0.9229949444095059,0.9508155834907366,0.9040502738088299,0.42840723283797677,0.4073362730624927,Bad
et_makkink,1.1339995810335064,1.0056657997729659,-1.0056657997729659,0.7043289476583047,0.4960792665094549,0.408007324341811,0.2873713693905483,Very Poor
et_mccloud,107.99812877834601,107.29318320046035,107.29318320046035,0.8794404121524043,0.7734154385267907,0.009028584944568818,0.007940102464804593,Very Poor
et_turc,0.6840473834523331,0.5013112841171182,-0.4517212615840746,0.7759401622961094,0.6020831354641126,0.47522208960268997,0.3687439053330075,Very Poor
et_global_radiation,1.0177775676689214,0.8730433006304897,-0.8730433006304897,0.6771774943242054,0.4585693588192092,0.4279900982026684,0.2898252622964536,Very Poor
et_ivanov,4.029517238882808,3.6444772754703054,3.6444772754703054,0.913586058286943,0.8346394858962736,0.26494084425984965,0.2420462615865709,Very Poor
et_jensen_heise,0.9849307447078873,0.8440403386926979,-0.8440403386926979,0.7589440202317297,0.5759960258455001,0.4406689558677763,0.33444306895760884,Very Poor
et_net_radiation,1.0333105680110233,0.8890120955105686,-0.8890120955105686,0.6771774943242055,0.45856935881920935,0.4235722539074207,0.2868335975662833,Very Poor
et_radiation_temperature,1.0351791046741972,0.8928409203329017,-0.8928409203329017,0.7301038889140565,0.533051688607429,0.42421009514240304,0.30971744018007036,Very Poor
et_lungeon,0.46322156548829,0.360330848878176,-0.3555821936212242,0.9137756720148587,0.8349859787662065,0.7582682994824561,0.6928871249271454,Good
et_stephens_stewart,1.0202644171032496,0.8784470014220634,-0.8784470014220634,0.7430554668990274,0.5521314268885316,0.4290228764386894,0.3187877937625141,Very Poor
et_hicks_hess,1.0050672371770335,0.8693609187562011,-0.8693609187562011,0.8337493267203764,0.6951379398066809,0.4371603823997722,0.3644821744946323,Very Poor
