method,rmse,mae,mbe,r2,willmott_d
et_camargo,24.178157671976408,21.893502158159034,21.276469166845523,0.7736675228016549,0.4975524001922267
et_hargreaves_samani,26.00246090346556,24.352095178706723,24.352095178706723,0.8155418582820435,0.5197886132497443
et_priestley_taylor,38.057532203642495,35.584281675056545,-35.584281675056545,0.44024546534371983,0.36283105452505104
et_garcia_lopez,38.3369896183487,36.16886916178923,-36.16886916178923,0.9095446703112753,0.3669450489257199
et_makkink,41.33735044663216,39.08017166442631,-39.08017166442631,0.4282029242073022,0.3464200635028736
et_mccloud,3273.8507188440335,3264.0347228426895,3264.0347228426895,0.8871939732081473,0.007761388913791856
et_turc,25.85096291601161,22.184863249665124,-22.184863249665124,0.5704771547821796,0.43853570354850124
et_global_radiation,37.53847586493384,35.03518544058078,-35.03518544058078,0.386974019546431,0.3659032629238067
et_ivanov,4468.4163492546395,4205.157652974243,4205.157652974243,0.9557561042543443,0.007398388544703871
et_jensen_heise,36.60419831669026,34.150595101478125,-34.150595101478125,0.5512251649330737,0.3737148105061966
et_net_radiation,38.01187570801662,35.52223368442319,-35.52223368442319,0.3869740195464312,0.36282453423455185
et_radiation_temperature,38.0957323809746,35.63901284150435,-35.63901284150435,0.49168495935836115,0.36288679693802084
et_lungeon,20.521703725916822,19.25262167679818,-19.25262167679818,0.9563342839439333,0.5795112547538012
et_stephens_stewart,37.654460048426955,35.19999831472378,-35.19999831472378,0.518242421999377,0.3660480570330491
et_hicks_hess,36.66772002070718,34.251381173276485,-34.251381173276485,0.5671080997766359,0.3741512290783138
