method,metric,estimate,ci_lower,ci_upper,n,n_boot,confidence
et_thornthwaite,rmse,2.2480032935497305,2.1304096861648234,2.3623277283201882,366,1000,0.95
et_thornthwaite,mae,1.937811545084945,1.8209984302792812,2.0545032720464143,366,1000,0.95
et_thornthwaite,mbe,-1.6529911574317262,-1.8103289770122277,-1.4971736605492805,366,1000,0.95
et_thornthwaite_camargo,rmse,5.108424984943687,4.9732401210956985,5.242518594468512,366,1000,0.95
et_thornthwaite_camargo,mae,4.892663969246801,4.747494599233066,5.040113183510877,366,1000,0.95
et_thornthwaite_camargo,mbe,-4.892663969246801,-5.040113183510877,-4.747494599233066,366,1000,0.95
et_camargo,rmse,2.261891344568288,2.154221754586513,2.376190576212853,366,1000,0.95
et_camargo,mae,1.9876570599198249,1.8819315476450815,2.0983378073625203,366,1000,0.95
et_camargo,mbe,-1.710488395476309,-1.86125468835272,-1.5631406550102893,366,1000,0.95
et_hargreaves_samani,rmse,0.7820844648825677,0.7339261167987962,0.8362498834222637,366,1000,0.95
et_hargreaves_samani,mae,0.6525367586078145,0.6090220983396172,0.7013058108152842,366,1000,0.95
et_hargreaves_samani,mbe,-0.20198120770670422,-0.2786119087638527,-0.12210055311262577,366,1000,0.95
et_hargreaves_samani_corr,rmse,0.7523287135854925,0.7050956356943413,0.8017243728177952,366,1000,0.95
et_hargreaves_samani_corr,mae,0.6181055069622828,0.5764430281776146,0.6611519444186793,366,1000,0.95
et_hargreaves_samani_corr,mbe,-5.358191122125345e-15,-0.07596077527706906,0.07789575259516172,366,1000,0.95
et_priestley_taylor,rmse,1.9575354732899066,1.8266269047458958,2.088663646464484,366,1000,0.95
et_priestley_taylor,mae,1.5361716898273239,1.4212338562592184,1.6620233133342315,366,1000,0.95
et_priestley_taylor,mbe,1.4373099873316528,1.3066397308767044,1.5698493454916722,366,1000,0.95
et_garcia_lopez,rmse,17.451168421400137,16.649090030599,18.283530391809144,366,1000,0.95
et_garcia_lopez,mae,16.079183167793882,15.389891628279319,16.795011295773314,366,1000,0.95
et_garcia_lopez,mbe,16.079183167793882,15.389891628279319,16.795011295773314,366,1000,0.95
