method,rmse,mae,mbe,r,r2,willmott_d,c,classification
et_thornthwaite,1.232491060577839,0.9595928812373657,0.07925132235593303,0.4486098080417585,0.2012507598712634,0.6655361141223414,0.29856602840128144,Very Poor
et_thornthwaite_camargo,3.419612711006985,3.1604991332508825,-3.1604214894591416,,,0.36698354923641163,,
et_camargo,2.1678088014138774,1.9410445904042954,-1.861574316491594,0.6381908911554739,0.40728761355381793,0.490522601962152,0.3130470564781276,Very Poor
et_hargreaves_samani,1.5586909270952438,1.3440157838649114,-1.2458570969937963,0.839210290146646,0.7042739110880178,0.6086655918958556,0.510798427977201,Poor
et_hargreaves_samani_corr,1.877701898247015,1.7409321758243494,1.7322424797876534,0.8392102901466462,0.7042739110880181,0.6547062931499126,0.5494362582351733,Poor
et_priestley_taylor,0.498164033318992,0.3933641707800148,0.1143760569220625,0.9509063488708204,0.9042228843228344,0.9681594437311343,0.9206289617631773,Excellent
et_garcia_lopez,1.404552485321604,1.194602382012746,-1.0687919936885084,0.7845757885755296,0.6155591680189141,0.7738721062409206,0.6071613180105763,Average
et_makkink,0.4199720669869836,0.29132697816249636,0.010633673959608446,0.9482157000355914,0.8991130137939867,0.9708458038545568,0.9205712335285651,Excellent
et_mccloud,72.13479904583683,70.1385530208028,70.1385530208028,0.7029318086539608,0.4941131276175285,0.03383579650500412,0.023784257634509913,Very Poor
et_turc,0.7670115181495837,0.7029629281131363,0.6688616610321461,0.957903534207889,0.9175791808479643,0.9162663383818263,0.8776947638116729,Excellent
et_global_radiation,0.8860105186281355,0.7916697251366632,0.7337823245254683,0.9275613010833874,0.8603699672675065,0.8922577130515351,0.8276237252197697,Very Good
et_ivanov,1.8181345828757403,1.3160800040235094,0.8407923964988823,0.6087153477598203,0.3705343745983589,0.685292488003395,0.41714805515217906,Bad
et_jensen_heise,0.8314861037440657,0.6996021209315254,0.6368370214698198,0.9539393755227171,0.9100003321726715,0.9212860349136239,0.8788510248233026,Excellent
et_net_radiation,0.6439575084639235,0.529814218816158,0.36286880068104427,0.944200998531766,0.891515525628384,0.9487336039136655,0.8957952161559238,Excellent
et_radiation_temperature,0.5294896514790025,0.40236887640411195,-0.3189582992059915,0.9557296015375806,0.9134190712551825,0.9511107676763316,0.9090047150094028,Excellent
et_lungeon,2.8667927096946446,2.624338852815938,-2.623534433058104,0.6174670526981147,0.38126556116769644,0.42766097784724666,0.26406656354533314,Very Poor
et_stephens_stewart,0.3825333067542915,0.246587100406859,-0.05092084506837574,0.9570717935940016,0.9159864180932392,0.9769473250706606,0.9350087286522393,Excellent
et_hicks_hess,0.7884907055130959,0.531098589925885,0.3324747822478498,0.8935758790881032,0.7984778516880765,0.9229434771143459,0.8247200289110823,Very Good
