method,rmse,mae,mbe,r,r2,willmott_d,c,classification
et_thornthwaite,15.18407991071984,11.650903613689138,2.417165331855957,0.8831515253272344,0.7799566166878208,0.899281419794,0.7942017575895121,Very Good
et_thornthwaite_camargo,98.41312502970517,96.39285542850382,-96.39285542850382,,,0.24267617178833478,,
et_camargo,57.84317649945271,56.77801665299362,-56.77801665299362,0.9279953017421438,0.8611752800554926,0.4069645951213816,0.37766123224803594,Very Poor
et_hargreaves_samani,39.266908814437976,37.99864145831079,-37.99864145831079,0.9640628462254721,0.9294171714723583,0.527181144997494,0.5082357551226874,Poor
et_hargreaves_samani_corr,53.746017834519016,52.83339563352343,52.83339563352343,0.9640628462254722,0.9294171714723585,0.4673982798117895,0.4506013159562435,Bad
et_priestley_taylor,11.657092106378979,10.260251473312744,3.4884697361229065,0.914157531070315,0.835683991612574,0.9326944444218436,0.8526296505556717,Excellent
et_garcia_lopez,38.05701436742572,33.694094710059225,-32.5981558074995,0.6240719499980121,0.3894657987743213,0.5666166018487824,0.3536095276170168,Very Poor
et_makkink,5.1716848994456255,4.432681946933269,0.32432705576805826,0.9657363092603442,0.9326466190237911,0.9817674883215,0.9481285107234034,Excellent
et_mccloud,2165.425209527327,2139.2258671344853,2139.2258671344853,0.8943834308230578,0.7999217213308235,0.016161846680639913,0.014454887882666974,Very Poor
et_turc,20.802369231471932,20.400280661480462,20.400280661480462,0.9808655713820154,0.9620972691225674,0.7907982520669,0.7756667793614989,Very Good
et_global_radiation,23.1460611580668,22.38036089802679,22.38036089802679,0.9549936652302263,0.9120129006298616,0.7382062691681355,0.7049823106888087,Good
et_ivanov,44.50074864173825,34.22215074312998,25.64416809321591,0.16158230199881676,0.026108840319236822,0.3417515211068105,0.055220997492035656,Very Poor
et_jensen_heise,22.17345533904591,19.42352915482951,19.42352915482951,0.9659154572020097,0.9329926704617674,0.8168863286752289,0.7890431316444049,Very Good
et_net_radiation,15.541126099700994,13.01539873252635,11.067498420771855,0.9123147682392758,0.8323182363474836,0.8841486404013863,0.8066218619568616,Very Good
et_radiation_temperature,10.987991649347398,9.72822812578274,-9.72822812578274,0.9685763626432489,0.9381401702712263,0.920561775483805,0.891634376086515,Excellent
et_lungeon,82.35400637341974,80.01780020827216,-80.01780020827216,0.19370003619023762,0.03751970402009937,0.278540359852536,0.05395327778387803,Very Poor
et_stephens_stewart,5.5158954767434,4.322255909208477,-1.5530857745854576,0.9683435110469606,0.9376891553867551,0.9815619444131656,0.9504891395631263,Excellent
et_hicks_hess,16.724292608934377,12.360470025376502,10.14048085855942,0.9369387786600012,0.8778542749568947,0.8883626435664561,0.8323414102703254,Very Good
