site,biome,climate_class,region,country,state,scale,rank,method,rmse,mae,mbe,r2,willmott_d,rank_rmse,rank_mae,rank_mbe,rank_r2,rank_willmott_d
manaus,Amazonia,Af,North,Brazil,AM,daily,1,et_hargreaves_samani_corr,0.3587718639251776,0.2885161958517201,8.639112497629633e-16,0.7816943155926427,0.8711361450370703,1,1,1,1,1
manaus,Amazonia,Af,North,Brazil,AM,daily,2,et_priestley_taylor,2.39660036312659,2.324136388522485,-2.324136388522485,0.6569380294302845,0.2956909847355051,2,2,2,3,3
manaus,Amazonia,Af,North,Brazil,AM,daily,3,et_hargreaves_samani,2.554733209036118,2.530421118032294,2.530421118032294,0.7816943155926422,0.3317499142866841,3,5,5,2,2
manaus,Amazonia,Af,North,Brazil,AM,daily,4,et_thornthwaite_camargo,2.577878500908357,2.4958033501433188,2.4958033501433188,1.4141756096108404e-31,0.2730260776459868,4,3,4,7,5
manaus,Amazonia,Af,North,Brazil,AM,daily,5,et_camargo,2.5996568167441976,2.5135411881168905,-2.40267025317533,0.0022175155065421,0.2667723356973631,5,4,3,6,6
manaus,Amazonia,Af,North,Brazil,AM,daily,6,et_thornthwaite,2.6761843139193,2.634496753617422,2.634496753617422,0.4714263019367353,0.2953965069265143,6,6,6,5,4
manaus,Amazonia,Af,North,Brazil,AM,daily,7,et_garcia_lopez,35.092634613639035,35.086822569120685,35.086822569120685,0.6335722394830908,0.0277087577197607,7,7,7,4,7
manaus,Amazonia,Af,North,Brazil,AM,monthly,1,et_hargreaves_samani_corr,6.091234675938482,5.01590585229009,2.7237471537470508e-14,0.9053970432878928,0.8970143377236992,1,1,1,2,1
manaus,Amazonia,Af,North,Brazil,AM,monthly,2,et_priestley_taylor,71.77483081236095,70.88615984993582,-70.88615984993582,0.7278738853783224,0.2158455560057892,2,2,2,4,4
manaus,Amazonia,Af,North,Brazil,AM,monthly,3,et_camargo,75.52262726201738,73.28144272184758,-73.28144272184758,4.039809423413556e-05,0.2099278394346352,3,3,3,7,5
manaus,Amazonia,Af,North,Brazil,AM,monthly,4,et_thornthwaite_camargo,77.20130954183664,76.12200217937122,76.12200217937122,0.0025354984660721,0.2011132746239884,4,4,4,5,6
manaus,Amazonia,Af,North,Brazil,AM,monthly,5,et_hargreaves_samani,77.29936840668756,77.177844099985,77.177844099985,0.9053970432878932,0.2420540684861203,5,5,5,1,2
manaus,Amazonia,Af,North,Brazil,AM,monthly,6,et_thornthwaite,80.54993146796701,80.35215098533136,80.35215098533136,0.81631835499918,0.2200790018469851,6,6,6,3,3
manaus,Amazonia,Af,North,Brazil,AM,monthly,7,et_garcia_lopez,1070.5060132309382,1070.1480883581808,1070.1480883581808,0.0018327042576488,0.0180531551417079,7,7,7,6,7
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,1,et_hargreaves_samani_corr,0.7523287135854925,0.6181055069622828,-5.3581911221253445e-15,0.7379239919962218,0.9181203741057128,1,1,1,1,1
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,2,et_hargreaves_samani,0.7820844648825677,0.6525367586078146,-0.2019812077067042,0.7379239919962216,0.9087939863079596,2,2,2,2,2
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,3,et_priestley_taylor,1.9575354732899064,1.536171689827324,1.4373099873316528,0.6822905498254002,0.7488782487540191,3,3,3,3,3
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,4,et_thornthwaite,2.2480032935497305,1.937811545084945,-1.6529911574317262,0.0752850763288328,0.4636078495288461,4,4,4,5,4
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,5,et_camargo,2.261891344568288,1.9876570599198249,-1.710488395476309,0.0717112026981262,0.4572314533173386,5,5,5,6,5
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,6,et_thornthwaite_camargo,5.108424984943687,4.892663969246801,-4.892663969246801,,0.2990768753285218,6,6,6,7,6
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,7,et_garcia_lopez,17.451168421400137,16.079183167793882,16.079183167793882,0.3926371946630361,0.1435280502656528,7,7,7,4,7
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,1,et_hargreaves_samani_corr,15.430247295228265,14.035644764349778,-1.6579330501069006e-13,0.6962482410176251,0.8877822242381763,1,2,1,1,1
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,2,et_hargreaves_samani,15.897548963890891,13.469821753683004,-6.160426835054483,0.6962482410176246,0.8767936653072548,2,1,2,2,2
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,3,et_priestley_taylor,51.323944533562894,43.83795461361541,43.83795461361541,0.4640733973288338,0.4801965628541362,3,3,3,3,3
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,4,et_thornthwaite,55.753717573196,50.41623030166764,-50.41623030166764,0.3469693769485944,0.4396225992295394,4,4,4,6,4
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,5,et_camargo,56.17528336925319,52.16989606202743,-52.16989606202743,0.3476624248223522,0.4347176491033768,5,5,5,5,5
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,6,et_thornthwaite_camargo,150.5486068265945,149.22625106202742,-149.22625106202742,,0.1740543388370115,6,6,6,7,6
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,monthly,7,et_garcia_lopez,508.698566116048,490.4150866177135,490.4150866177135,0.367064463816806,0.0673306115459776,7,7,7,4,7
